id,artist
204,Edward Meeker With The Edison Orchestra
205,Edward R. Murrow
206,Edwin Hawkins Singers
207,Edwin Starr
208,El Jarocho
209,Elizabeth Cotten
210,Ella Fitzgerald
211,Ella Fitzgerald & Louis Armstrong
212,Ella Fitzgerald/Count Basie
213,Elmore James
214,Elton John
215,Elvis Costello
216,Elvis Presley
217,"Emanuel Feuermann, Leopold Stokowski cond. Philadelphia Orchestra"
218,Emmett Miller & His Georgia Crackers
219,Ennio Morricone
220,Enrico Caruso
221,Eric Clapton
222,Ernest Ansermet cond. L'Orchestre de La Suisse Romande
223,Ernest Tubb
224,"Ernest V. ""Pop"" Stoneman"
225,Erroll Garner Trio
226,Ethel Merman
227,Ethel Waters
228,Etta James
229,Etta Jones
230,"Eugene Ormandy cond. Philadelphia Orchestra; Mstislav Rostropovich, cellist"
231,Eurythmics
232,Fanny Brice
233,Faron Young
234,Fats Domino
235,"Fats Waller, His Rhythm & His Orchestra"
236,Feodor Chaliapin
237,Fiddlin' John Carson
238,Fisk Jubilee Singers
239,Fleetwood Mac
240,Fletcher Henderson & His Orchestra
241,Floyd Cramer
242,Fontella Bass
243,Four Tops
244,Francis Craig & His Orchestra
245,Frank Sinatra
246,Frank Sinatra & Antonio Carlos Jobim
247,Frankie Laine
248,Frankie Trumbauer & His Orchestra Featuring Bix Beiderbecke On Cornet
249,Frankie Yankovic & His Yanks
250,Fred & Adele Astaire accompanied by George Gershwin
251,Fred Astaire
252,Fred Astaire & The Oscar Peterson Quintet
253,Fred Astaire With Johnny Green & His Orchestra
254,Fred Astaire With Leo Reisman & His Orchestra
255,Freddy Fender
256,Freddy King
257,Fritz Kreisler; Leo Blech cond. Berlin State Opera Orchestra
258,Fritz Reiner cond. Chicago Symphony Orchestra
259,Furry Lewis
260,Gene Austin
261,Gene Autry
262,Gene Chandler
263,Gene Kelly
264,Gene Kelly & Various Artists
265,Gene Vincent & His Blue Caps
266,"Georg Solti cond. Chicago Symphony; Balatsch, dir. Chorus Of The Vienna State Opera; Froschauer dir. Vienna Singverein"
267,"Georg Solti cond. Vienna Philharmonic; Windgassen, Nilsson, Hotter, Flagstad & Others"
268,George Benson
269,George Carlin
270,"George Gershwin, Celesta; Nathaniel Shilkret cond. Victor Symphony Orchestra"
271,"George Gershwin, Piano With Paul Whiteman, Cond."
272,George Harrison
273,George Jones
274,"George Szell cond. Cleveland Orchestra; Leon Fleisher, piano"
275,Gertrude Lawrence
276,Gil Scott-Heron
277,Gladys Knight & The Pips
278,Glen Campbell
279,Glenn Gould
280,Glenn Miller & His Orchestra
281,Glenn Miller Orchestra With Tex Beneke & The Modernaires
282,Gloria Gaynor
283,Gordon Jenkins & His Orchestra
284,Gordon Jenkins & His Orchestra & The Weavers
285,Grandmaster Flash & The Furious Five featuring Melle Mel & Duke Bootee
286,Grateful Dead
287,Guns N' Roses
288,Hank Snow
289,Hank Thompson & His Brazos Valley Boys
290,Hank Williams
291,Hank Williams & His Drifting Cowboys
292,Harry Belafonte
293,Harry Chapin
294,Harry James & His Orchestra
295,Harry Nilsson
